,Company,Ticker,Stock Price,Trailing P/E Ratio,Shares Held by Institutions,% Float Held by Institutions,Forward Divident Yield,Forward Dividend,Last Year Dividend,2021 Dividend,2020 Dividend,2019 Dividend
178,Ballard Power Systems Inc. (BLDP),BLDP,5.92,,34.79%,,,,0.0,0.0,0.0,0.0
179,"Builders FirstSource, Inc. (BLDR)",BLDR,70.22,4.13,104.26%,,,,0.0,0.0,0.0,0.0
180,"BioLife Solutions, Inc. (BLFS)",BLFS,23.47,,93.69%,,,,0.0,0.0,0.0,0.0
181,"Bridgeline Digital, Inc. (BLIN)",BLIN,1.1550,5.45,10.52%,,,,0.0,0.0,0.0,0.0
182,"Blackbaud, Inc. (BLKB)",BLKB,61.80,,99.85%,,,,0.0,0.0,0.12,0.48
183,"Bloomin' Brands, Inc. (BLMN)",BLMN,23.70,21.25,108.52%,,2.39%,0.56,0.56,0.0,0.2,0.4
184,BioLineRx Ltd. (BLRX),BLRX,0.6781,,19.75%,,,,0.0,0.0,0.0,0.0
185,"bluebird bio, Inc. (BLUE)",BLUE,8.22,,81.77%,,,,0.0,0.0,0.0,0.0
186,Bank of Marin Bancorp (BMRC),BMRC,32.83,12.03,50.05%,,3.10%,1,0.98,0.94,0.92,0.7999999999999999
187,BioMarin Pharmaceutical Inc. (BMRN),BMRN,113.57,252.81,101.04%,,,,0.0,0.0,0.0,0.0
188,"Benefitfocus, Inc. (BNFT)",BNFT,10.48,,73.74%,,,,0.0,0.0,0.0,0.0
189,Bonso Electronics International Inc. (BNSO),BNSO,3.9400,,2.58%,,,,0.0,0.0,0.0,0.0
190,BOK Financial Corporation (BOKF),BOKF,102.96,14.90,38.32%,,2.09%,2.16,2.66,2.09,2.05,2.01
191,DMC Global Inc. (BOOM),BOOM,21.99,17.08,88.36%,,,,0.0,0.0,0.125,0.29000000000000004
192,B.O.S. Better Online Solutions Ltd. (BOSC),BOSC,2.1600,13.40,14.23%,,,,0.0,0.0,0.0,0.0
193,"Bank of the James Financial Group, Inc. (BOTJ)",BOTJ,12.63,6.42,25.46%,,2.47%,0.32,0.29000000000000004,0.267272,0.254544,0.254544
194,"Popular, Inc. (BPOP)",BPOP,68.45,5.01,88.99%,,3.21%,2.2,2.2,1.75,1.6,1.2
195,Popular Capital Trust II PFD GTD 6.125% (BPOPM),BPOPM,25.00,,,,,,0.0,0.64,1.5360000000000005,0.896
196,"Bio-Path Holdings, Inc. (BPTH)",BPTH,1.7200,,5.78%,,,,0.0,0.0,0.0,0.0
197,Bridgford Foods Corporation (BRID),BRID,13.12,3.05,5.44%,,,,0.0,0.0,0.0,0.0
198,"Brookline Bancorp, Inc. (BRKL)",BRKL,13.84,9.89,74.30%,,3.88%,0.54,0.52,0.48,0.46,0.44
199,Bruker Corporation (BRKR),BRKR,67.86,37.47,72.45%,,0.29%,0.2,0.2,0.16,0.16,0.16
200,Brilliant Acquisition Corporation (BRLI),BRLI,10.74,,88.27%,,,,0.0,0.0,0.0,0.0
201,"Bassett Furniture Industries, Incorporated (BSET)",BSET,18.15,6.50,60.92%,,3.65%,0.64,2.1,0.53,0.705,0.5
